Sprint,Día,Fecha,Alumno,Módulo,R.A. (Evaluación),Tarea Detallada,Horas
3,13,jue 14 may,David G.,Lógica (Admin),R.A. 8,Creación de vista /admin/obras y traslado del CRUD Instrumentos a esta zona.,3.25
3,13,jue 14 may,David G.,FOL,R.A. 3,Análisis de vicisitudes relevantes que se pueden presentar en la relación laboral y recursos legales.,3.25
3,13,jue 14 may,Manuel S.,Gestión,R.A. 7,Procedimientos de extracción para generar informe CSV/Excel con repertorio validado.,3.25
3,13,jue 14 may,Manuel S.,FOL,R.A. 3,Análisis de prestaciones derivadas de la extinción de la relación laboral o desempleo.,3.25
3,14,vie 15 may,David G.,Hardware,R.A. 1,Clasificación de dispositivos y mecanismos de comunicación en servidor local.,2.5
3,14,vie 15 may,David G.,Pruebas,R.A. 8,Ejecución de pruebas unitarias sobre los permisos del Panel de Administración.,2.5
3,14,vie 15 may,Manuel S.,Digitalización,R.A. 5,Informe sobre el impacto de la RGPD en los datos de registro de músicos.,2.5
3,14,vie 15 may,Manuel S.,Pruebas,R.A. 8,Pruebas de usabilidad sobre el flujo de validación del Compositor y registro de fallos.,2.5
3,14,vie 15 may,Ambos,Proyecto,N/A,Sprint Review: Demostración del Buscador y del Panel de Administración completo (Gestión Roles).,1.5
4,15,lun 18 may,David G.,Sistemas,R.A. 8,Creación de Dockerfile para empaquetar el frontend en entorno Node/Nginx.,3.25
4,15,lun 18 may,David G.,Redes,R.A. 2,Integración de dispositivos (contenedores) en red local virtualizada con Docker Bridge.,3.25
4,15,lun 18 may,Manuel S.,Sistemas,R.A. 8,Asistencia en la orquestación y creación del archivo docker-compose.yml general.,3.25
4,15,lun 18 may,Manuel S.,Base de Datos,R.A. 6,Programación de tareas automáticas (cron) para volcados de seguridad en Supabase.,3.25
4,16,Mar 19 May,David G.,Base de Datos,R.A. 6,Identificación de herramientas por línea de comandos para exportar datos SQL.,3.25
4,16,Mar 19 May,David G.,Base de Datos,R.A. 6,Realización práctica de volcado de seguridad (exportación total del estado de BD).,3.25
4,16,Mar 19 May,Manuel S.,Redes,R.A. 2,Despliegue del cliente Zrok mediante Docker para iniciar el túnel reverso.,3.25
4,16,Mar 19 May,Manuel S.,Redes,R.A. 2,Aseguramiento del túnel Zrok y generación de URL pública estática para Esemble Sonoro.,3.25
4,17,mié 20 may,David G.,Redes,R.A. 2,Configuración de monitorización de servicios (Ping/Uptime Kuma) para Zrok.,3.25
4,17,mié 20 may,David G.,Sistemas,R.A. 8,Verificación del arranque automático de contenedores Docker en reinicios del sistema.,3.25
4,17,mié 20 may,Manuel S.,Base de Datos,R.A. 6,Simulacro de incidente crítico: Borrado intencional de tablas principales.,3.25
4,17,mié 20 may,Manuel S.,Base de Datos,R.A. 6,Ejecución del protocolo de restauración de copia de seguridad con éxito.,3.25
4,18,jue 21 may,David G.,Digitalización,R.A. 5,Investigación sobre almacenamiento descentralizado vs Cloud Computing.,3.25
4,18,jue 21 may,David G.,Gestión,R.A. 7,Redacción técnica del documento de explotación (Cómo arrancar Proxmox y Docker).,3.25
4,18,jue 21 may,Manuel S.,Gestión,R.A. 8,Asistencia técnica por red a David documentando incidencias de despliegue.,3.25
4,18,jue 21 may,Manuel S.,Sostenibilidad,R.A. 4,Análisis de eficiencia energética del uso de contenedores Docker frente a VMs pesadas completas.,3.25
4,19,vie 22 may,David G.,Hardware,R.A. 1,Simulación e identificación de averías y cuellos de botella en SO Linux.,2.5
4,19,vie 22 may,David G.,Sistemas,R.A. 8,Evaluación de rendimiento de la carga del frontend sirviéndose desde Zrok.,2.5
4,19,vie 22 may,Manuel S.,Hardware,R.A. 1,Análisis del mecanismo de conexión entre red LAN externa y Docker virtual interno.,2.5
4,19,vie 22 may,Manuel S.,Sistemas,R.A. 8,Refinamiento de variables de entorno (ENV) para asegurar la conexión Docker-Supabase.,2.5
4,19,vie 22 may,Ambos,Proyecto,N/A,"Sprint Review: Demostración de URL pública (Zrok), estabilidad Docker y simulacro de Backups.",1.5
5,20,lun 25 may,David G.,Migración,R.A. 7,Volcado final en producción del catálogo limpio y aprobado por la empresa.,3.25
5,20,lun 25 may,David G.,Frontend,R.A. 8,Resolución de incidencias visuales reportadas en el Sprint 4 (Ajustes CSS/Tailwind).,3.25
5,20,lun 25 may,Manuel S.,Migración,R.A. 7,Verificación de integridad de los datos finales importados (IDs cruzados).,3.25
5,20,lun 25 may,Manuel S.,Frontend,R.A. 8,Revisión de diseño Responsive (Móviles/Tablets) de los paneles de administración y buscador.,3.25
5,21,Mar 26 May,David G.,Documentación,R.A. 8,Elaboración de guías visuales en PDF (Manual: Alta de Obras y Validación).,3.25
5,21,Mar 26 May,David G.,Documentación,R.A. 8,Elaboración de guías visuales en PDF (Manual: Navegación Pública y Búsquedas).,3.25
5,21,Mar 26 May,Manuel S.,Gestión,R.A. 7,Elaboración del Manual de Administrador (Gestión Roles y Moderación).,3.25
5,21,Mar 26 May,Manuel S.,Sistemas,R.A. 8,Elaboración de hoja de rescate: comandos rápidos para reiniciar servidor y Zrok si se cae la red.,3.25
5,22,mié 27 may,David G.,Base de Datos,R.A. 6,Auditoría final de la base de datos y cierre estricto de roles/permisos RLS.,3.25
5,22,mié 27 may,David G.,Redes,R.A. 2,Pruebas de estrés de latencia sobre la red a través del túnel Zrok documentando tiempos.,3.25
5,22,mié 27 may,Manuel S.,Base de Datos,R.A. 6,Optimización final de índices en tablas SQL para acelerar el buscador.,3.25
5,22,mié 27 may,Manuel S.,Digitalización,R.A. 5,"Verificación de políticas de cookies, aviso legal y RGPD visibles en la plataforma web.",3.25
5,23,jue 28 may,David G.,Sostenibilidad,R.A. 4,Revisión del documento final de ecodiseño aplicado a todo el ciclo del proyecto.,3.25
5,23,jue 28 may,David G.,FOL,R.A. 3,Análisis de nuevos entornos de organización: El teletrabajo en el desarrollo de software.,3.25
5,23,jue 28 may,Manuel S.,FOL,R.A. 3,Investigación sobre convenios colectivos estatales vs autonómicos.,3.25
5,23,jue 28 may,Manuel S.,Hardware,R.A. 1,Monitorización final de recursos (RAM/CPU) de la máquina con 100% de servicios en marcha.,3.25
5,24,vie 29 may,David G.,Sistemas,R.A. 8,"Limpieza de logs, contenedores huérfanos y ramas no usadas en GitHub.",2.5
5,24,vie 29 may,David G.,Entrega,R.A. 8,Empaquetado de todo el código fuente y artefactos documentales en un fichero de entrega.,2.5
5,24,vie 29 may,Manuel S.,Redes,R.A. 2,Protocolo de encendido y apagado ordenado del servidor físico documentado.,2.5
5,24,vie 29 may,Manuel S.,Entrega,R.A. 8,"Traspaso formal de credenciales maestras (Supabase, Zrok, Proxmox, GitHub) a Esemble Sonoro.",2.5
5,24,vie 29 may,Ambos,Proyecto,N/A,Sprint Review: DEMO FINAL Y ENTREGA LLAVES EN MANO A ESEMBLE SONORO SL. FIN PRÁCTICAS.,1.5
